gender,Census_Count,Baseline_Count,CDC_Count,Census_Count_percentage,Baseline_Count_percentage,CDC_Count_percentage
Female,81745.0,1239.0,2147.0,50.63208815167638,42.08559782608695,37.32614742698192
Male,79704.0,1026.0,2366.0,49.36791184832362,34.85054347826087,41.133518776077885
Unknown,,679.0,1239.0,,23.063858695652172,21.540333796940196
