C2021_ETH_20_NAME,OBS_VALUE
"Asian, Asian British or Asian Welsh",23081
"Black, Black British, Black Welsh, Caribbean or African",46468
Mixed or Multiple ethnic groups,18555
Other ethnic group,25554
White,150576

