Age_range,All persons,Female,Male
Total,322898,81745,79704
0-17,36579,0,0
18-29,17253,0,0
30-39,19703,0,0
40-49,22085,0,0
50-59,24346,0,0
60-69,18442,0,0
70-79,14897,0,0
80-89,6663,0,0
90+,1481,0,0
